Questions,Category
"A soil profile at a site consists of 4.0m of medium sand with dry unit weight of 17 kN/m3 , underlain by a normally consolidated layer of 2.0m thick clay. The initial void ratio of clay is 1.0 its saturated unit weight is 20 kN/m3 and its liquid limit is 50%. The ground water table is at the top of the clay layer. A square footing 2m x 2m is founded at a depth of 1.0 m below the GL at the site. The load on the footing is 1200 kN. Calculate the settlement of footing due to consolidation of the clay layer.",BT3
"Check the reinforced earth wall shown in figure 5(a) for stability against a) sliding b) over turning and c) bearing failure. Although BC is a rough face, assume it to be smooth",BT3
Site A and Site B are two sites located at a distance 20km and 30km respectively from a city. Below table gives the details for both sites. i) What criterions to be considered while selecting a landfill site? ii) Compare the score of both sites and suggest which site is best suited for constructing a landfill,BT4
Analyze the given drawing to determine the scope of work and sequence the activities in order of their construction.,BT3
"There is an immediate need for the construction of a small concrete bridge between two villages before the monsoon season arrives, as an assistant engineer in the PWD, your preceding officer has asked to create a third-level WBS accounting for all the major milestones to be achieved to aid the estimation process.",BT3
"The following data is for a construction of a commercial complex which your company is about to build. The activities, durations and the interdependencies were finalized in the planning meeting. Analyze and determine the earliest duration to execute the project. Also, determine if there are additional days, other than the planned durations for the non-critical activities.",BT3
Develop a detailed safety protocol in accordance with SP 70 (Handbook on Construction safety practices) for the following projects: i. Residential Apartment Complex ii. Highway Construction,BT3
"An electrical sub-station is to be built on a 7 acres of land. The following is the scope of work to be completed by your company. The project is to be completed in 4 months. i. Clearing of vegetation on site, which includes trees, shrubs and grass. ii. Removing of top 1 meter soil and hauling it off to a dump site located 8 KMs from the worksite. iii. Compacting the natural ground for 94 % Proctor Density. iv. Placing of aggregates to the specified level as mentioned in the drawing. v. Compacting the placed aggregates for Modified Proctor Density of 98 %. vi. Excavating for 85 piers of specified diameter. vii. Placing Concrete in the piers. viii. Asphalt of 6 inches over the aggregate base for the entire sub-station. ix. Machine control is to be used for excavation and aggregate placement. Analyze the scope of the project and select at least two types of construction equipment to be used for this project. Compare and finalize the best fit.",BT4
"The following is the planned crew and quantity for the excavation activity. The scheduled work days is 6 days. The planned quantity is 3000 Cubic meters. Determine the planned total cost and unit cost for this activity. After 3 days, the following is the report generated from the site. Amount of work done: 1200 cubic meters. The crew worked for 8 hours/day for all the 3 days. Determine the cost that was spent for these 3 days. Comment on the productivity of the crew. Calculate the cost required to complete the work in the remaining 3 days. Analyze the given situation and determine whether additional crew is a better option compared to over-time for the existing crew",BT4
"A typical small house construction project consists of the following operations along with the time set for its completion. The project starts on Monday 16th November 2018. Assume 5 days-work week. The following data was collected from the job site. At present the data date is Friday, 11-12-2018. i. Determine the total duration of the project. State any assumptions you make. ii. Compile PV (Planned Value), EV (Earned Value) and AC (Actual Cost) from the data provided. iii. Analyze the status of the project (using EVA) and create a status report. Comment on the forecast of the project",BT4
A project consists of 8 activities from A to F. The following is the progress report sent to you from the field after 2 months. The project was planned to be completed till activity D after 2 months. Analyse the project. Also comment on the status of each individual activity in terms of profit/loss.,BT3
"There is a call for tender for construction of stadium in your city, only few reputed private construction companies have been asked to participate in the tender by the governing body, your company is one of them. Your boss asks you to prepare the necessary document which is required for the tendering work for the construction of stadium.",BT2
Discuss the different type of bidding models,BT2
"Your company has just won a bid to construct an electrical sub-station over 5 acres of land which is covered with vegetation. The major activities of the project are site clearance, surveying, subgrade base, piers and bolts, control room, asphalt base, painting and clean-up. Evaluate the project and list all risks that could occur on this project. List the mitigation techniques to be placed to counter the identified risks.",BT3
What are the different limit states of design? What are the merits of limit state design over other philosophies?,BT2
A RC beam 200mm wide and 500mm deep is reinforced with 3nos of 16mm dia bars. Find moment of resistance of beam. Effective span is 5m. If effective cover is 40mm find safe working load as well as super imposed load. Use M25 grade concrete and Fe500 grade steel.,BT3
Derive the stress block parameters for compressive force Cu and Tensile force Tu using limit state method of design.,BT2
A singly reinforced rectangular section of breadth 200mm and effective depth 400mm is made up of concrete of M20 grade and steel of Fe500 grade. Find out following 1. Calculate maximum moment of resistance that a given section can offer and also what is corresponding area of steel. 2. Find moment of resistance and area of steel if depth of N.A. is restricted to 0.3d. 3. If c/s is reinforced with 4% of c/s size of beam find Xu for steel to fail and also moment of resistance at that instance. 4. Check whether given c/s can withstand an ultimate B.M. of 100kNm. If not suggest alternate solution.,BT4
"A Room is having clear dimensions of 3m x 6m. The superimposed live load on slab is 10 kN/m2 , at service state. The slab is simply supported on all the four sides on a wall of 300mm thickness. The corners are held down. Decide whether the slab is designed as one way slab or two way slab giving proper justifications. Design the slab using M-20 grade of concrete and Fe-415 grade of steel. Sketch the reinforcement details.",BT3
A rectangular beam of effective span 6m needs to be designed. The superimposed load on the beam is 50kN/m. The c/s size of the beam is restricted to 300mmX600mm by the architect. List out different types of beams that can be provided under these circumstances. Design the beam which gives you optimal solution.,BT4
State and explain the basic assumptions made for design of columns under axial compression and uniaxial bending.,BT2
Design a rectangular R.C. footing for an R.C. column 230 mm x 450 mm carrying an axial load of 1500 kN. The S.B.C. of the soil is 150 kN/m2 . Sketch the reinforcement details.,BT3
Predict the population of the city in the year2040 and also estimate the design demands of the water supply scheme. The census report is as follows:,BT3
Discuss the impact of human activities on environment,BT2
Discuss the criteria for selection of an indicator organisms,BT2
"For the water supply of a small town, water is required to be pumped from a tube well to an overhead tank. Work out the capacity of the pump. The data are given as below. Daily demand of water 750 m3 Hours of pumping 8 Water table below ground level 8 m Height of the tank above ground level 14 m Loss of head in the pump and rising main 1.75 m",BT3
Enumerate the impurities in ground water which should be taken into account in deciding the potability of a sample. State the effects when they exceed the prescribed BIS limits.,BT2
Design Clari-flocculation units to treat 15 MLD of water.,BT3
"For the water supply of a small rural town with daily requirements of 225 m3 of water, it is proposed to construct a distribution reservoir. The pattern of draw off is as follows The pumping is done at a constant rate of 8 hours/day (8am- 4 pm). Determine the total capacity of service reservoir .The population of the town is 50,000.",BT3
"Design a combined outfall sewer running 70 % full at maximum flow of sewage for a city having catchment area of 200 hectare, rainfall intensity 20 mm/hr all of which is runoff. Projected population of the city is 4 lakh. Water to the city is supplied from the water works at a rate of 250 lpcd. The sewer is to be laid at a slope of 1 in 450. Take N= 0.013.",BT4
"The following observation was made on a 3% dilution of sewage DO of aerated water for dilution 3 mg/l DO of diluted sample after 5 day incubation 0.8 mg/l DO of original sample 0.6 mg/l Calculate BOD, Ultimate BOD and 3 days BOD at 37 0 C. Take k= 0.23/d",BT3
Explain the working of a grit chamber with a neat sketch,BT2
"Design ASP to treat settled sewage of 10 MLD having a BOD of 180 mg/l ,it is desired to produce a filter effluent having a BOD 20 mg/l",BT4
"A city discharges 1500l/s of sewage into a stream whose minimum rate of flow is 6000l/s. The 5 day BOD for sewage is 200 mg/l and that of river is 1 mg/l .The DO content of stream is 90 % of the saturation DO. If the minimum DO to be maintained in the stream is 4.5 mg/l, determine the degree of sewage treatment required. Assume KD= 0.1/day and KR= 0.3/day.",BT3
"In asynchronous transfer mode (ATM), data are organized into cells of 53 bytes. Identify the range (number of ATM cells transmitted ) for the domain (minutes) set M={1, 2, 3, 4, 5, 6} if connection that transmits data at the rate of i) 128 kilobits per second ii) 300 kilobits per second iii) 1 megabit per second",BT3
Write the propositions for the following English statements. To use the wireless network in the airport you must pay the daily fee unless you are a subscriber to the service. Express your answer in terms of w: You can use the wireless network in the airport. d: You pay the daily fee. and s: You are a subscriber to the service.,BT3
"Let p,q and r be the propositions P: You have attended cultural audition. q: You miss the first minor exam. r: You will not get the make-up exam. Express each of these propositions as an English sentence i) (p?¬ r) ?(q?¬ r) ii) (p?q) ? (¬q? r) iii) ¬q?r",BT2
"Let A, B, and C be sets. Show that A ? (B ? C) ?????????????????? = ( ??? ? ???) ? ???",BT2
Consider the following system specifications using the propositions “The message is scanned for viruses” or “The message was sent from an unknown system” “When a message is not sent from an unknown system it is not scanned for viruses.” “The message is scanned for viruses” Is the specification consistent? Justify your answer,BT3
"Consider the combinatorial circuit shown in below figure and answer the following. 1. Find the output of combinatorial circuits (a) and (b). 2. Write the simplified form of negation of the output. 3. Assume appropriate p, q and r and express the output in English sentence.",BT3
"Let f, g, h be functions from R ? R where f(x)=x2 ,g(x) =x+5 and h(x) = 2 2 x + .Determine ((h o g) o f) (x).",BT2
Identify which of the following propositional statements are tautology using laws of equivalence. i) [ p ? q ? (?p ? ?q ? r )] ???( p ? q ? r ) ii) ¬ (p?q) ?¬ q,BT3
State whether the following statements are true or false i) Every infinite sets are countable ii) Every relation is not necessarily function iii) What time is it? is a proposition iv) Every bijective functions are inverse functions v) (f ? g)(a) = f (g(a)).,BT3
"a Suppose that at some future time every telephone in the world is assigned a number that contains a country code 1 to 3 digits long, that is, of the form X, XX, or XXX, followed by a 10-digit telephone number of the form NXX-NXX-XXXX. How many different telephone numbers would be available worldwide under this numbering plan?",BT3
How many positive integers between 100 and 999 inclusive i) are divisible by 7? ii) are not divisible by 4? iii) are divisible by 3 and 4? iv) are divisible by 3 or 4? v) are divisible by 3 but not by 4 and 7?,BT3
"For the relations R1={(a,b), (a,c), (b,d), (d,d)} and R2={(a,a), (a,d), (b,a), (b,b), (c,e), (d,d), } on sets {a,b,c,d,e} to {a,b,c,d,e} determine R2?R1. Represent the output relation using directed graph.",BT2
"Consider the following relation R={(1,1),(1,2),(1,3),(1,4), (2,2),(2,3),(2,4),(3,3),(3,4),(4,4)} defined over the set S={1,2,3,4} i) Is (S,R) is a Poset? Justify your answer. ii) Is (S,R) Linearly ordered? Justify your answer. iii) Is (S,R) Well-ordered? Justify your answer. iv) Identify the minimal, maximal, greatest and least elements v) Identify the lower bound and upper bound for the set {3}and also find the least upper bound and greatest lower bound.",BT3
"In how many possible orders a student can answer 5 questions in the SEE exams considering the following conditions i) There are 3 units UNIT1, UNIT2 and UNIT3 consisting of 3, 3 and 2 questions respectively. ii) Student has to answer 2 questions from UNIT 1 , 2 questions from UNIT 2 and one from UINIT 3",BT2
"In order to conduct the SEE examination, In how many ways seating arrangement can be made for 240 CS students and 240 EC students such that CS and EC students should sit alternatively.",BT3
School of Computer Science and Engineering is planning to create a Computer network lab of 15 computers. In how many ways every computer is connected to every other computer for each of the following assumptions. i) Every computer is implicitly connected to itself ii) Every computer is explicitly connected to itself iii) Every connection is one-way communication iv) Every connection is two-way communication,BT3
"Let R be the relation on the set of people with doctorates such that (a, b) ? R if and only if ‘a’ was the thesis advisor of ‘b’. When is an ordered pair (a, b) in R2 ? When is an ordered pair (a, b) in Rn , when n is a positive integer? (Assume that every person with a doctorate has a thesis advisor.)",BT3
"Let R1 and R2 be the “congruent modulo 3” and the “congruent modulo 4” relations, respectively, on the set of integers. That is, R1 = {(a, b) | a ? b (mod 3)} and R2 = {(a, b) | a ? b (mod 4)}. Find i) R1 U R2. ii) R1 ? R2. iii) R1 ? R2. iv) R2 ? R1.",BT2
"A vending machine dispensing books of stamps accepts only onedollar coins, $1 bills, and $5 bills. a) Find a recurrence relation for the number of ways to deposit n dollars in the vending machine, where the order in which the coins and bills are deposited matters. b) What are the initial conditions? c) How many ways are there to deposit $10 for a book of stamps?",BT3
"Solve these recurrence relations together with the initial conditions given. i. an = 2an?1 for n ? 1, a0 = 3 ii. an = an?1 for n ? 1, a0 = 2",BT2
a) Find a recurrence relation for the number of steps needed to solve the Tower of Hanoi puzzle. b) Show how this recurrence relation can be solved using iteration.,BT3
"Check whether the binary operation * is commutative and associative on the seta) On Z, where a*b is ab b) on Z+, where a*b is a+b+2",BT3
"Prove or disprove the binary operation on Z+ of a*b = GCD(a,b) has the idempotent property",BT3
Check whether set Z with the binary operation of subtraction is a semi group.,BT2
Define – i) Group ii) Rings iii) Fields give one example for each with domain as set of positive integers.,BT2
"Suppose we wish to search a linked list of length n, where each element contains a key k long with a hash function h(k). Each key is a long character string. How might we take advantage of the hash values when searching the list for an element with a given key?",BT3
"With the help of suitable code snippets, Prove That: “Queue is NO more exactly a First In First Out data structure”",BT2
Using state space tree prove that: • There is no solution for a 2 queen problem • There are multiple solutions for a 4 queen problem,BT2
Differentiate between Structures and Unions with suitable code snippets,BT3
"A linear probing has a hash function of the form: h(k, i) = (h’(k) + i) mod m and a quadratic probing has a hash function of the form: h(k, i) = (h’(k) + c 1 i + c 2 i 2 ) mod m. Linear probing suffers from a problem known as primary clustering and quadratic probing from secondary clustering. Discuss",BT3
"Consider the circular list given below with string data: Write a function which will display the output in following fashion: i think i can think i can i can can At each line, the function should display data from all the nodes present. After printing each line, an appropriate node has to be deleted. After printing the last line, “last” pointer should be holding the NULL value.",BT3
Write a program to print the nth node from end from a singly linked list.,BT3
"Complete the function described below: Function Name: summon Input Params: base address of string Return Type: base address of summoned string Description: A magician wants to generate summoning charms. For input string “firebolt”, the function should produce “summon firebolt”. Do not use any inbuilt string handling functions.",BT3
Write the modules to implement the following using Stack data structure: • Check if the given string is palindrome • Sort the given set of integers,BT3
"You have been invited to a post-exam party. i) You walk in and shake everyone’s hand. As the number of attendees N increases, what is the order of growth to shake everyone’s hand? Justify. ii) You meet everyone else and during each meeting, you talk about everyone else in the room. To what efficiency class does this belong to? Justify.",BT4
"Create a AVL Tree for: 50, 60, 80, 30, 20, 40, 70 Can you perform the three tree traversals on AVL tree? Justify your answer.",BT3
State Ohm’s law,BT1
Explain the importance of sustainability in Engineering design,BT2
List the physical and chemical properties of silicon,BT1
List the components of A/D converter,BT1
List the arithmetic operators available in C in increasing order of precedence,BT1
Explain the behaviour of PN junction diode under different bias conditions,BT2
Define the purpose of a constructor,BT1
"Define the terms: Sensible heat, Latent heat and Total heat of evaporation",BT1
Describe the characteristics of SCR and transistor equivalent for a SCR,BT2
List the assembler directives,BT1
Describe the process of galvanisation and tinning,BT1
"Write truth table and symbol of AND, OR, NOT, XNOR gates",BT1
"Define the terms: Stress, Working stress and Factor of safety",BT1
What is the difference between declaration and definition of a variable/function,BT1
List the different storage class specifiers in C,BT1
"Explain the terms: Particle, Rigid body and Deformable body giving two examples for each.",BT2
What is the use of local variables,BT1
What is a pointer to a pointer,BT1
What are the valid places for the keyword “break” to appear,BT1
What is a self-referential structure,BT1
How many values of the variable num must be used to completely test all branches of the following code fragment? if (num>0) if (value,BT2
Discuss the effect of Make in India initiative on the Indian manufacturing Industry,BT2
Summarise the importance of ethical code of conduct for engineering professionals,BT2
Apply Bellman-Ford Algorithm on the given graph How is Bellman-Ford different from Dijkstra’s Algorithm?  to what design technique does the algorithm belong to? Explain.,BT3
Bring out the differences between Prim’s and Kruskal’s algorithm. Also compare with respect to efficiency analysis.,BT2
Write a algorithm for given below description: ALGORITHM CountLeafNodes(T) // Recursively counts the number of leaf nodes in the tree T,BT3
"Apply Quick Sort on the following: Q U I C K S O R T Write the efficiency analysis of quick sort (Best, Worst, and Average).",BT3
Write the algorithm design technique for the given below algorithms/problems: i) N-Queen’s Problem ii) Binary Search iii) Insertion Sort iv) AVL Trees v) Heap Sort vi) Hashing vii) Boyer-Moore viii) Breadth First Search,BT2
"A DNA sequence consists of a text on the alphabet {A, C, G, T} and the gene or gene segment is the pattern. For the pattern for chromosome-10: TCCTATTCTT construct the following tables: i) ?- table ii) Bad Symbol Shift Table",BT3
Write a function to delete a node from a Binary Search Tree. Suitably comment the code explaining each of the cases.,BT3
What are indexed sequential files?,BT1
Explain fseek( ) API with help of a C suitable program. Explain each of the parameter it takes in detail.,BT3
A file consists of binary data. Write a program to read and count the number of 0’s and 1’s in it. Write the individual count in a separate file. Also find the size of the file.,BT3
What do you mean by storage release?,BT1
Differentiate between the fixed block and variable block storage management.,BT2
With a help of a suitable program explain the concept of Bit Maps and how they can be used as an efficient storage means,BT3
"Implement the Boolean function F(A,B,C,D)=BC+ABC+A?C?D using only a single 8X1 Multiplexer where signals A,B,C,D and D? represent the inputs.",BT2
"The circuit diagram of a synchronous counter is shown in the given figure. Determine the sequence of states of the counter assuming that the initial state is “000?. Give your answer in a tabular form showing the present state QA, QB, QC, J-K inputs (JA, KA, JB, KB, JC, KC) and the next state QA+, QB+, QC+. From the table, determine the modulus of the counter.",BT3
"Consider the instruction Load R2,(R3). What control signals are generated in the datapath during the execution of this instruction. Justify your answer with proper reasoning.",BT3
"Realize a Boolean expression f(w,x,y,z)=?m(1,2,6,7,8,9,11,13,14,15) using Multiplexer Tree structure. The first level should consist of two 4: 1 MUX with variables w and z on their select lines S1 and S0 respectively and second level should consist of single 2:1 MUX with variable y on the select lines",BT2
i. Explain the working of Gated SR latch. ii. What is forbidden state? iii. Determine the output waveform for a gated SR latch,BT3
"i. Load R4,(R3) ii. Store R4,(R3) For the above instructions draw the timing diagrams for synchronous bus operation",BT3
Explain Hardwired Control unit.,BT2
"Design , Simulate and implement a 4-bit Universal Shift Register for following operation",BT3
"There is a queue for exchange of old 500 rupees currency notes after demonetization, in the post office. But a single customer can exchange only upto Rs. 4000/- per day. What components are necessary to design a system which alerts the user on reaching the maximum count? Also design the system to automate the counting process",BT3
Explain the operational model of SIMD computers.,BT2
"A 40 MHz processor was used to execute a benchmark program with the following instructions and clock cycle counts: Determine the effective CPI, MIPS rate and execution time for this program.",BT3
"Consider a main memory built with SDRAM chips. Data are transferred in burst lengths of 8. Assume that 32 bits of data are transferred in parallel. If a 400-MHz clock is used, how much time does it take to transfer: (a) 32 bytes of data (b) 64 bytes of data What is the latency in each case?",BT3
Explain the pipelining process in VLIW processors.,BT2
"The execution times (in seconds) of four programs on three computers are given below: Assume that 100,000,000 instructions were executed in each of the four programs. Calculate the MIPS rating of each program on each of the three machines. Based on these ratings, can you draw a clear conclusion regarding the relative performance of the three computers? Rank them statistically.",BT3
With neat figure show how a very small memory chip consisting of 16 words of 8 bits each is organized (16 X 8 organization). What is Double-Data-Rate SDRAM?,BT3
With a neat diagram of computer architecture explain the components involved in modern computer architecture.,BT2
"How does instruction set, compiler technology, CPU implementation and control and cache and memory hierarchy affect the CPU performance and justify the effects in terms of program length, clock rate and effective CPI",BT3
Design a 8M x 32 size memory chip using memory chips of i. 512K x 16 ii. 256K x 8 Draw the diagrams showing appropriate connections for each of the above cases.,BT3
"With a neat diagram explain 5-stage pipeline organization. Consider the following instructions at the given addresses in the memory: 1000 ADD R4, R3, R2 1004 OR R7, R6, R5 1008 SUBTRACT R8, R7, R4 Initially, registers R2 and R3 contain 4 and 8, respectively. Registers R5 and R6 contain 128 and 2 respectively. Assume that pipeline provides forwarding paths to the ALU from registers RY and RZ. The first instruction is fetched in clock cycle 1, and the remaining instructions are fetched in successive cycles. Draw a pipelined execution of these instructions assuming that processor is using operand forwarding. Describe the contents of registers, RY, and RZ in the pipeline during cycles 4 to 7.",BT3
"Explain with an example the different types of hazards. The following instructions are executed in pipelined architecture. SUBTRACT R4,R2,R3 BRANCH NEXT OR R1, R2,#5 MUL R3,R4,R2 NEXT: LOAD R5,[R0] ADD R6,R5,R2 Identify hazards and suggest hardware or software approach to minimize the hazards.",BT3
"Assume that 25% of dynamic count of instructions executed for a program is branch instructions. There are pipeline stalls due to data dependencies; static branch prediction is used with non-taken assumption. i.Determine execution time for two cases: when 30% of branches are taken, and when 80% of branches are taken. ii.Determine the speedup for one case relative to other. Express the speedup as percentage relative to 1.",BT3
Explain the role of Dispatch unit to resolve Deadlock in scalar processor.,BT2
"A dealer has a warehouse that stores a variety of fruits and vegetables. When fruit is brought to the warehouse, various types of fruit may be mixed together. The dealer wants a model that will sort the fruit according to type. Justify with reasons how machine learning model is efficient compared to feature based classification technique.",BT2
"Suppose you are only allowed to use binary logistic classifiers to solve a multi-class classification problem. Given a training set with 2 classes, this classifier can learn a model, which can then be used to classify a new test point to one of the 2 classes in the training set. You are now given a 6 class problem along with its training set, and have to use more than one binary logistic classifier to solve the problem, as mentioned before. Propose the following scheme - you will first train a binary logistic classifier for every pair of classes. Now, for a new test point, you will run it through each of these models, and the class which wins the maximum number of pairwise contests, is the predicted label for the test point. How many binary logistic classifiers will you need to solve the problem using your proposed scheme?",BT3
"Describe the two error functions that are used for neural networks. Suppose we are training a neural network for binary classification, justify the type of error function which is suitable to solve the problem.",BT3
Why it is necessary to estimate the accuracy of hypothesis. Explain procedure to estimate difference in error between two learning methods.,BT3
Explain the effect of following factors in achieving global minima with gradient descent algorithm.,BT3
What is a variable,BT1
"Calculate the cost value of linear regression for the following dataset. X=[1,2,3,4,5 ] Y=[3,6,7,11,15 ] Slope of hypothesis (?1) = 7 Constant/ intercept (?0)=5 Epoch=3 Learning rate (?) = 0.5",BT3
"Determine the Principal Components for the given 2-Dimensional dataset. (1, 2), (2, 4), (3, 6).",BT3
"Suppose that we want to build a neural network that classifies two dimensional data (i.e., X = [x1, x2]) into two classes: diamonds and crosses. We have a set of training data that is plotted as follows: Draw a network that can solve this classification problem. Justify your choice of the number of nodes and the architecture. Draw the decision boundary that your network can find on the diagram.",BT3
"Consider the following Neural Network with alpha = 0.5, eta=0.24, desired output = 1 and sigmoid activation function. i. Perform one forward pass and calculate the error. ii. Calculate the updated weights for w5 and w6 using backpropagation.",BT3
"Consider the following graphical model, which defines a joint probability distribution over five Boolean variables. Apply Expectation Maximization to train this Bayesian network, given training data in which the variables F, S, H and N are fully observed, and where the variable A is sometimes unobserved. a. What are the conditional probability distributions associated with each of the five random variables in this network? b. What variables are in the Markov blanket for variable A? c. Given that all variables in the Markov blanket of A are observed, it should be possible to compute the distribution over A based on only these variables. Simplify your expression from part",BT3
Ram is working on a project which requires returning multiple values from a function. He observed that a return statement can only be used to return a single value from a function. How the function should be implemented so that multiple values can be returned by Ram,BT4
Apply SVM algorithm for the data-points and find dimension of hyper plane to classify the data-points for the figure. (assume bias =1),BT3
What is linearly in separable problem? Design a two layer network of perceptron to implement XOR and AND gates.,BT2
Develop a Q learning task for recommendation system of an online shopping website. What will be the environment of the system? Write the cost function and value function for the system.,BT3
Explain how an agent can take action to move from one state to other state with the help of rewards.,BT3
What is a compiler? List names of any 2 compilers,BT1
Explain reinforcement learning in detail along with the various elements involved in forming the concept. Also define what is meant by partially observed state.,BT3
Explain how reinforcement learning problem differs from other function approximation.,BT2
"Classify and justify the following applications as Batch oriented or Interactive. Generating monthly bank statement, Word processing, Generating personal tax returns",BT2
Discus implementation of mutual exclusion with semaphores. Explain the role of wait( ) and signal( ) functions in this regard.,BT2
Consider the following processes with their arrival time and burst time as given below: Identify appropriate data structure to implement following scheduling algorithms for the above scenario. Which one among them gives optimized scheduling with respect to waiting time? a. FCFS b. Shortest remaining time first ( SJF preemptive) c. Round Robin (time quantum = 4 units) ,BT3
"Consider the concurrently running processes A and B as given below. (Shared data: semaphore s1=0, s2=0;) Process A: do { Instruction a; Signal (s1); instruction b; Wait (s2); Instruction e; } while (true); Process B: do { Wait (s1); Instruction d; Instruction c; Signal (s2); } while (true) Illustrate the order in which these instructions (A, B, C and D) will get executed?",BT3
What are the benefits of designing a flowchart for solving a problem,BT4
Differentiate between one-to-one and many-to-many model used for multithreading implementation,BT2
Assume two operations i) A(counter++) ii) B(counter--) Both are running following code: reg1= counter; reg1= Reg1+1; Counter = reg1; Check for occurrence of Race condition. Propose different approaches to solve race condition if it exists.,BT3
"Every Saturday ram will get up at morning 6 o clock. His wife Swapna wants him to help her out with doing the house since guests were expected to arrive that evening. This would take Ram 45 minutes. His daughter Priya wants him to help her out in solving a math problem for 15 min, before she could face a test that afternoon in the tuition classes. Ram’s son Arun, wants to be dropped at his friend’s place as he is going to movie at 4pm. This would take an hour of travel. Ram’s boss now calls him and asks him to call up a client and have a telecon on a particular business deal which would take him 20 minutes. In the evening 4 pm his colleague asks him a help to send one email to client so that in the night client will check and reply. It will take approximately 30 min. As age factor plays imp role Ram will be taking 5 min rest after each work.",BT3
"Suppose that a disk drive has 5000 cylinders, numbered 0 to 4999. The drive is currently serving a request at cylinder 143, and the previous request was at cylinder 125. The queue of pending requests, in FIFO order, is: 86, 1470, 913, 1774, 948, 1509, 1022, 1750, 130 Starting from the current head position, what is the total distance (in cylinders) that the disk arm moves to satisfy all the pending requests for each of the following disk scheduling algorithms? i)FCFS ii) SSTF iii) SCAN iv) LOOK",BT3
"t is desired to operate a 100 W, 120 V, electric bulb at its rated current on a 240 V, 50 Hz supply. The simplest arrangement is to use either (a) a resistor, or (b) a capacitor or (c) an inductor having 10 ? resistance in series with the electric bulb so as to drop the excess voltage. Determine the value of the component used, the total power consumed and the power factor in each case. Giving reasons, state which alternative is the best",BT4
Determine the total amount of internal fragmentation using i) First fit ii) Best fit iii) Worst fit techniques for the memory requests given below:,BT2
" Consider the following snapshot of a system: Answer the following questions using the Banker’s algorithm: a. Is the system in a safe state? b. If a request from process P4 arrives for (0, 3, 2, 0), can the request be granted immediately? ",BT3
"Determine the total number of page faults and page fault rate for the reference string given below using following page replacement algorithms. i) FIFO ii) Optimal iii) LRU (Assume Number of frames = 4) Reference string: 3, 2, 5, 0, 1, 3, 5, 0, 7, 8, 2, 1, 2, 3, 4, 5, 8, 4, 7, 8",BT3
"A wireless battery powered drilling machine operates on 24 V DC with constant speed and negligible field current. Initially when the machine is powered it runs at 1200 rpm and draws 0.5 A from the battery. Further when the drill bit starts drilling the hole, the speed reduces to 1120 rpm. Determine power requirement from the battery for drilling if the resistance of the armature is 0.2?. What is the power drawn initially?",BT4
With neat diagram describe the Paging hardware with translation lookaside buffer (TLB). Also calculate the effective memory access time for the following specification. Hit ratio = 60%.Memory access time = 200 nano seconds TLB search time = 50 nano seconds,BT3
Discuss the strengths and weaknesses of implementing an access matrix using access lists that are associated with objects.,BT2
Explain why a capability-based system such as Hydra provides greater flexibility than the ring-protection scheme in enforcing protection policies.,BT3
"To protect an expensive circuit component from being delivered too much power, you decide to incorporate a fast blowing fuse into the design. Knowing that the circuit component is connected to 12 V, its minimum power consumption is 12 watts and the maximum power it can safely dissipate is 100 watts, which of the three available fuse ratings should you select: 1A , 4A or 10 A? Give reasons",BT4
Explain overall architecture of Android Operating system. What are the benefits of using Android for Mobile application development,BT2
Discuss design issues of network operating systems. Comment on use of dedicated routers/gateways against general purpose computers for networking.,BT3
Answer the following questions with justification,BT3
"Consider the following database of travel sequences for one working week of a traveler: i) Use the Apriori algorithm to compute all frequent itemsets, and their support, with minimum support 3. Clearly indicate the steps of the algorithm, and the pruning that is performed. (ii) Which of the frequent sequences are maximal? (iii) Which of the frequent sequences are closed?",BT3
"(i) For the Traveler dataset given in Figure 3.a, answer the following questions: [A] Which kind of plots are suitable for each of the 'gender', 'signup_method', 'first_device_type', 'first_browser' and 'timestamp_first_active' attributes. [B] Which kind of plots are suitable for numerical data, give example. [C] Classify each of the following attributes {'id', 'date_account_created', 'timestamp_first_active', 'gender', 'age', 'country_destination'} as qualitative (nominal or ordinal or binary) or quantitative (discrete or continuous). Some cases may have more than one interpretation, briefly indicate your reasoning if you think there may be some ambiguity. (ii) List and briefly describe two other techniques for numerosity reduction.",BT3
"Use the contingency tables obtained in part (i) to compute and rank the rules in decreasing order according to the following measures: [A] Support; [B] Confidence; [C] Interest (X ? Y) = P( X, Y) / (P(X)*P(Y))",BT3
"[True/False] In comparison with the performance of a base classifier on a particular data set, bagging will generally not increase the error whereas as boosting may lead to an increase in the error.",BT3
"Given the contingency table, compute the following pairwise measures for clustering evaluation: (i) Jaccard coefficient (ii) Rand statistic (iii) Fowlkes–Mallows measure",BT2
"Solve the following HAC by considering the proximity matrix given, and consider inter-cluster similarity between clusters using: (i) Nearest neighbor linkage (ii) Farthest neighbor linkage And draw the corresponding dendograms",BT3
"Consider the following data set: Your task is to build a decision tree for classifying variable Y. (You can think of the data set as replicated many times, i.e. overfitting is not an issue here). (i) Compute the information gains IG(Y | V ), IG(Y | W) and IG(Y | X). Which attribute would Decision Tree classifier select first? (ii) Write down the entire decision tree constructed by Decision Tree classifier, without pruning. (iii) One idea for pruning would be to start at the root, and prune splits for which the information gain (or some other criterion) is less than some small ?. ",BT3
