Questions,Category
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,BT5
Select the best proposal for a proposed water treatment plant.,BT6
Select the most effective solution.,BT6
suggest ways in which it could have responded more effectively,BT6
decide about the most exciting part of the book. being sure to give at least three reasons why?,BT6
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,BT6
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger. ",BT6
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",BT6
Was Hemingway a great American writer? First you will need to define greatness.,BT6
What changes to . . . would you recommend?,BT6
What criteria would you use to assess the validity of a business contract?,BT6
What criteria would you use to assess...?,BT6
What do you think about . . .?,BT6
What is part of this book did you like best. Tell why you like it?,BT6
What is the most important...?,BT6
Which of the following actions would probably be least effective in determining the answer?,BT6
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",BT6
Would you have liked to have had Cinderella for a sister? Explain why or why not.,BT6
Write a list of criteria to judge the Willy raps.,BT6
Revise the story and specify the type of audience that would enjoy this book.,BT6
Estimate the epicentral coordinates of the earth-quake,BT6
Estimate the risk of serious illness for consumers in different susceptible population groups,BT6
Estimate expenditure on HIV/AIDS education,BT6
Estimate the difficulty of the question,BT6
Estimate roughly how long the collision process takes,BT6
What do you think is the best thing about coming to Viestal?,BT6
What do you think is the mass and why,BT6
What do you think are the strengths of using integrated math in your program?,BT6
Do you think that this statement conveys the idea that i am trying to portray,BT6
How do you think the community should grow or change,BT6
How Do You Think One Should Reason in Making Ethical Decisions in Business,BT6
